Time,Price,%,SD
06/03 09:26,"1,472.93",-0.26,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
5608,0,0,5608,1430,762,0,0,762
4768,0,0,4768,1440,944,0,0,944
3821,0,0,3821,1450,1153,0,0,1153
3100,0,0,3100,1460,1408,0,0,1408
2433,0,0,2433,1470,1733,0,0,1733
1837,0,0,1837,1480,2116,0,0,2116
1320,0,0,1320,1490,2589,0,0,2589
910,0,0,910,1500,3179,0,0,3179
579,0,0,579,1510,3843,0,0,3843
350,0,0,350,1520,4661,0,0,4661
Time,Price,%,SD
06/03 09:33,"1,473.69",-0.21,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
5608,0,0,5608,1430,762,0,0,762
4768,0,0,4768,1440,944,0,0,944
3821,0,0,3821,1450,1153,0,0,1153
3100,0,0,3100,1460,1408,0,0,1408
2433,0,0,2433,1470,1733,0,0,1733
1837,0,0,1837,1480,2116,0,0,2116
1320,0,0,1320,1490,2589,0,0,2589
910,0,0,910,1500,3179,0,0,3179
579,780,700,579,1510,3843,0,0,3843
350,500,450,350,1520,4661,0,0,4661
Time,Price,%,SD
06/03 09:43,"1,486.06",0.63,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,0,0,4768,1440,710,580,800,944
3821,0,0,3821,1450,880,850,890,1153
3100,3650,3480,3610,1460,1090,990,1100,1408
2433,2840,2760,2800,1470,1370,1260,1410,1733
1837,2220,2100,2120,1480,1690,1640,1800,2116
1320,1670,1530,1540,1490,2130,2040,2140,2589
910,1150,1050,1070,1500,2650,2600,2670,3179
579,780,690,700,1510,3270,3220,3300,3843
350,500,420,430,1520,4661,3930,4040,4661
203,270,250,260,1530,4730,4730,4730,5510
Time,Price,%,SD
06/03 09:47,"1,486.06",0.63,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,0,0,4768,1440,610,580,800,944
3821,0,0,3821,1450,780,770,890,1153
3100,3650,3480,3590,1460,980,970,1100,1408
2433,2860,2760,2820,1470,1250,1220,1410,1733
1837,2220,2100,2160,1480,1560,1550,1800,2116
1320,1670,1530,1580,1490,1970,1960,2140,2589
910,1150,1050,1090,1500,2480,2480,2670,3179
579,780,690,700,1510,3120,3090,3300,3843
350,500,420,440,1520,3830,3800,4040,4661
203,270,250,260,1530,4670,4650,4770,5510
Time,Price,%,SD
06/03 09:51,"1,486.06",0.63,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,0,0,4768,1440,610,580,800,944
3821,0,0,3821,1450,780,770,890,1153
3100,3650,3480,3590,1460,980,970,1100,1408
2433,2860,2760,2820,1470,1250,1220,1410,1733
1837,2220,2100,2160,1480,1560,1550,1800,2116
1320,1670,1530,1580,1490,1970,1960,2140,2589
910,1150,1050,1090,1500,2480,2480,2670,3179
579,780,690,700,1510,3120,3090,3300,3843
350,500,420,440,1520,3830,3800,4040,4661
203,270,250,260,1530,4670,4650,4770,5510
Time,Price,%,SD
06/03 09:53,"1,486.06",0.63,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,0,0,4768,1440,610,580,800,944
3821,0,0,3821,1450,780,770,890,1153
3100,3650,3480,3590,1460,980,970,1100,1408
2433,2860,2760,2820,1470,1250,1220,1410,1733
1837,2220,2100,2160,1480,1560,1550,1800,2116
1320,1670,1530,1580,1490,1970,1960,2140,2589
910,1150,1050,1090,1500,2480,2480,2670,3179
579,780,690,700,1510,3120,3090,3300,3843
350,500,420,440,1520,3830,3800,4040,4661
203,270,250,260,1530,4670,4650,4770,5510
Time,Price,%,SD
06/03 09:55,"1,486.06",0.63,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,0,0,4768,1440,610,580,800,944
3821,0,0,3821,1450,780,770,890,1153
3100,3650,3480,3590,1460,980,970,1100,1408
2433,2860,2760,2820,1470,1250,1220,1410,1733
1837,2220,2100,2160,1480,1560,1550,1800,2116
1320,1670,1530,1580,1490,1970,1960,2140,2589
910,1150,1050,1090,1500,2480,2480,2670,3179
579,780,690,700,1510,3120,3090,3300,3843
350,500,420,440,1520,3830,3800,4040,4661
203,270,250,260,1530,4670,4650,4770,5510
Time,Price,%,SD
06/03 09:57,"1,486.06",0.63,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,0,0,4768,1440,610,580,800,944
3821,0,0,3821,1450,780,770,890,1153
3100,3650,3480,3590,1460,980,970,1100,1408
2433,2860,2760,2820,1470,1250,1220,1410,1733
1837,2220,2100,2160,1480,1560,1550,1800,2116
1320,1670,1530,1580,1490,1970,1960,2140,2589
910,1150,1050,1090,1500,2480,2480,2670,3179
579,780,690,700,1510,3120,3090,3300,3843
350,500,420,440,1520,3830,3800,4040,4661
203,270,250,260,1530,4670,4650,4770,5510
Time,Price,%,SD
06/03 09:59,"1,486.06",0.63,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,0,0,4768,1440,610,580,800,944
3821,0,0,3821,1450,780,770,890,1153
3100,3650,3480,3590,1460,980,970,1100,1408
2433,2860,2760,2820,1470,1250,1220,1410,1733
1837,2220,2100,2160,1480,1560,1550,1800,2116
1320,1670,1530,1580,1490,1970,1960,2140,2589
910,1150,1050,1090,1500,2480,2480,2670,3179
579,780,690,700,1510,3120,3090,3300,3843
350,500,420,440,1520,3830,3800,4040,4661
203,270,250,260,1530,4670,4650,4770,5510
Time,Price,%,SD
06/03 10:03,"1,486.06",0.63,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,0,0,4768,1440,610,580,800,944
3821,0,0,3821,1450,780,770,890,1153
3100,3650,3480,3590,1460,970,970,1100,1408
2433,2860,2760,2820,1470,1240,1220,1410,1733
1837,2220,2100,2160,1480,1560,1550,1800,2116
1320,1670,1530,1580,1490,1970,1960,2140,2589
910,1150,1050,1090,1500,2480,2480,2670,3179
579,780,690,700,1510,3120,3090,3300,3843
350,500,420,430,1520,3830,3800,4040,4661
203,270,250,260,1530,4670,4650,4770,5510
Time,Price,%,SD
06/03 10:05,"1,486.82",0.68,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,0,0,4768,1440,610,580,800,944
3821,0,0,3821,1450,780,770,890,1153
3100,3650,3480,3590,1460,970,970,1100,1408
2433,2860,2760,2820,1470,1240,1220,1410,1733
1837,2220,2100,2160,1480,1560,1550,1800,2116
1320,1670,1530,1580,1490,1970,1960,2140,2589
910,1150,1050,1090,1500,2480,2480,2670,3179
579,780,690,700,1510,3120,3090,3300,3843
350,500,420,430,1520,3830,3740,4040,4661
203,270,250,260,1530,4670,4570,4770,5510
Time,Price,%,SD
06/03 10:07,"1,486.82",0.68,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5220,5210,4768,1440,610,580,800,944
3821,0,0,3821,1450,780,740,890,1153
3100,3650,3480,3590,1460,970,940,1100,1408
2433,2880,2760,2820,1470,1240,1190,1410,1733
1837,2220,2100,2160,1480,1560,1500,1800,2116
1320,1670,1530,1580,1490,1970,1880,2140,2589
910,1150,1050,1090,1500,2480,2390,2670,3179
579,780,690,700,1510,3120,3000,3300,3843
350,500,420,430,1520,3830,3740,4040,4661
203,270,250,260,1530,4670,4570,4770,5510
Time,Price,%,SD
06/03 10:09,"1,486.82",0.68,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5220,5210,5210,1440,590,580,800,944
3821,0,0,3821,1450,740,740,890,1153
3100,3650,3480,3630,1460,940,940,1100,1408
2433,2880,2760,2880,1470,1190,1190,1410,1733
1837,2220,2100,2200,1480,1500,1500,1800,2116
1320,1670,1530,1600,1490,1900,1880,2140,2589
910,1150,1050,1120,1500,2390,2390,2670,3179
579,780,690,720,1510,3020,3000,3300,3843
350,500,420,440,1520,3750,3740,4040,4661
203,270,250,270,1530,4570,4570,4770,5510
Time,Price,%,SD
06/03 10:15,"1,486.50",0.66,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5210,5270,1440,590,580,800,944
3821,4460,4430,4430,1450,750,730,890,1153
3100,3650,3480,3630,1460,940,930,1100,1408
2433,2890,2760,2880,1470,1180,1180,1410,1733
1837,2220,2100,2200,1480,1500,1480,1800,2116
1320,1670,1530,1600,1490,1910,1880,2140,2589
910,1150,1050,1110,1500,2410,2390,2670,3179
579,780,690,720,1510,3000,3000,3300,3843
350,500,420,450,1520,3750,3730,4040,4661
203,270,250,260,1530,4570,4550,4770,5510
Time,Price,%,SD
06/03 10:17,"1,486.50",0.66,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5210,5270,1440,590,580,800,944
3821,4460,4400,4430,1450,750,730,890,1153
3100,3650,3480,3630,1460,940,930,1100,1408
2433,2890,2760,2880,1470,1180,1180,1410,1733
1837,2220,2100,2200,1480,1500,1480,1800,2116
1320,1670,1530,1600,1490,1910,1880,2140,2589
910,1150,1050,1110,1500,2410,2390,2670,3179
579,780,690,720,1510,3000,3000,3300,3843
350,500,420,450,1520,3750,3730,4040,4661
203,270,250,260,1530,4570,4550,4770,5510
Time,Price,%,SD
06/03 10:19,"1,486.50",0.66,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5210,5260,1440,610,580,800,944
3821,4460,4400,4400,1450,760,730,890,1153
3100,3650,3480,3630,1460,960,930,1100,1408
2433,2890,2760,2880,1470,1220,1180,1410,1733
1837,2220,2100,2180,1480,1540,1480,1800,2116
1320,1670,1530,1580,1490,1940,1880,2140,2589
910,1150,1050,1100,1500,2450,2390,2670,3179
579,780,690,710,1510,3050,3000,3300,3843
350,500,420,440,1520,3790,3730,4040,4661
203,270,250,260,1530,4570,4550,4770,5510
Time,Price,%,SD
06/03 10:23,"1,485.62",0.60,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5210,5260,1440,610,580,800,944
3821,4460,4360,4400,1450,760,730,890,1153
3100,3650,3480,3630,1460,960,930,1100,1408
2433,2890,2760,2880,1470,1220,1180,1410,1733
1837,2220,2100,2180,1480,1540,1480,1800,2116
1320,1670,1530,1580,1490,1940,1880,2140,2589
910,1150,1050,1100,1500,2450,2390,2670,3179
579,780,690,710,1510,3050,3000,3300,3843
350,500,420,440,1520,3790,3730,4040,4661
203,270,250,260,1530,4570,4550,4770,5510
Time,Price,%,SD
06/03 10:25,"1,485.90",0.62,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5210,5260,1440,620,580,800,944
3821,4460,4360,4360,1450,780,730,890,1153
3100,3650,3480,3580,1460,980,930,1100,1408
2433,2890,2760,2820,1470,1240,1180,1410,1733
1837,2220,2100,2140,1480,1560,1480,1800,2116
1320,1670,1530,1570,1490,1980,1880,2140,2589
910,1150,1050,1080,1500,2490,2390,2670,3179
579,780,690,700,1510,3090,3000,3300,3843
350,500,420,430,1520,3850,3730,4040,4661
203,270,250,260,1530,4670,4550,4770,5510
Time,Price,%,SD
06/03 10:27,"1,485.90",0.62,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5160,5180,1440,630,580,800,944
3821,4460,4340,4340,1450,780,730,890,1153
3100,3650,3480,3580,1460,970,930,1100,1408
2433,2890,2760,2810,1470,1230,1180,1410,1733
1837,2220,2100,2140,1480,1560,1480,1800,2116
1320,1670,1530,1560,1490,1980,1880,2140,2589
910,1150,1050,1070,1500,2500,2390,2670,3179
579,780,690,690,1510,3120,3000,3300,3843
350,500,420,430,1520,3870,3730,4040,4661
203,270,250,260,1530,4690,4550,4770,5510
Time,Price,%,SD
06/03 10:31,"1,486.04",0.63,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5160,5180,1440,630,580,800,944
3821,4460,4340,4340,1450,780,730,890,1153
3100,3650,3480,3580,1460,970,930,1100,1408
2433,2890,2760,2810,1470,1230,1180,1410,1733
1837,2220,2100,2140,1480,1560,1480,1800,2116
1320,1670,1530,1560,1490,1980,1880,2140,2589
910,1150,1050,1070,1500,2500,2390,2670,3179
579,780,690,690,1510,3120,3000,3300,3843
350,500,420,430,1520,3870,3730,4040,4661
203,270,250,260,1530,4690,4550,4770,5510
Time,Price,%,SD
06/03 10:33,"1,486.04",0.63,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5160,5180,1440,610,580,800,944
3821,4460,4340,4340,1450,770,730,890,1153
3100,3650,3480,3550,1460,970,930,1100,1408
2433,2890,2760,2820,1470,1230,1180,1410,1733
1837,2220,2100,2130,1480,1550,1480,1800,2116
1320,1670,1530,1550,1490,1960,1880,2140,2589
910,1150,1050,1070,1500,2490,2390,2670,3179
579,780,690,690,1510,3110,3000,3300,3843
350,500,420,420,1520,3870,3730,4040,4661
203,270,250,260,1530,4690,4550,4770,5510
Time,Price,%,SD
06/03 10:35,"1,485.97",0.62,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5160,5180,1440,610,580,800,944
3821,4460,4340,4340,1450,770,730,890,1153
3100,3650,3480,3550,1460,970,930,1100,1408
2433,2890,2760,2820,1470,1230,1180,1410,1733
1837,2220,2100,2130,1480,1550,1480,1800,2116
1320,1670,1530,1550,1490,1960,1880,2140,2589
910,1150,1050,1070,1500,2490,2390,2670,3179
579,780,690,690,1510,3110,3000,3300,3843
350,500,420,420,1520,3870,3730,4040,4661
203,270,250,260,1530,4690,4550,4770,5510
Time,Price,%,SD
06/03 10:37,"1,485.97",0.62,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5160,5180,1440,610,580,800,944
3821,4460,4340,4340,1450,770,730,890,1153
3100,3650,3480,3550,1460,970,930,1100,1408
2433,2890,2760,2820,1470,1230,1180,1410,1733
1837,2220,2100,2130,1480,1550,1480,1800,2116
1320,1670,1530,1550,1490,1960,1880,2140,2589
910,1150,1050,1070,1500,2490,2390,2670,3179
579,780,690,690,1510,3110,3000,3300,3843
350,500,420,420,1520,3870,3730,4040,4661
203,270,250,260,1530,4690,4550,4770,5510
Time,Price,%,SD
06/03 10:39,"1,485.97",0.62,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5160,5180,1440,600,580,800,944
3821,4460,4340,4340,1450,770,730,890,1153
3100,3650,3480,3540,1460,960,930,1100,1408
2433,2890,2760,2800,1470,1220,1180,1410,1733
1837,2220,2100,2130,1480,1540,1480,1800,2116
1320,1670,1530,1540,1490,1960,1880,2140,2589
910,1150,1050,1060,1500,2470,2390,2670,3179
579,780,690,700,1510,3100,3000,3300,3843
350,500,420,420,1520,3840,3730,4040,4661
203,270,250,250,1530,4650,4550,4770,5510
Time,Price,%,SD
06/03 10:41,"1,485.55",0.59,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5160,5180,1440,600,580,800,944
3821,4460,4340,4340,1450,770,730,890,1153
3100,3650,3480,3540,1460,960,930,1100,1408
2433,2890,2760,2800,1470,1220,1180,1410,1733
1837,2220,2100,2130,1480,1540,1480,1800,2116
1320,1670,1530,1540,1490,1960,1880,2140,2589
910,1150,1050,1060,1500,2470,2390,2670,3179
579,780,690,700,1510,3100,3000,3300,3843
350,500,420,420,1520,3840,3730,4040,4661
203,270,250,250,1530,4650,4550,4770,5510
Time,Price,%,SD
06/03 10:45,"1,484.94",0.55,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5160,5180,1440,620,580,800,944
3821,4460,4340,4340,1450,780,730,890,1153
3100,3650,3480,3540,1460,980,930,1100,1408
2433,2890,2760,2810,1470,1240,1180,1410,1733
1837,2220,2100,2120,1480,1550,1480,1800,2116
1320,1670,1530,1540,1490,1970,1880,2140,2589
910,1150,1050,1050,1500,2490,2390,2670,3179
579,780,680,680,1510,3110,3000,3300,3843
350,500,420,420,1520,3840,3730,4040,4661
203,270,250,250,1530,4670,4550,4770,5510
Time,Price,%,SD
06/03 10:51,"1,484.69",0.54,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5130,1440,620,580,800,944
3821,4460,4340,4340,1450,800,730,890,1153
